Year,Month,Day,Intensity,Start,Peak Time,End,Event #,Max Drop,Lat,Lon,dist.R,AR#,Count,Flare
Year,Month,Day,intensity,start, peak,end,event #,max_drop,lat,lon,dist.R,AR#,count,flare
2016,10,17,-106,20:52,21:04,21:28,8977,71,14,21,0.39,AR 2602,26,
2016,10,14,-374,14:54,14:54,16:04,8976,66,,,1.08,,44,B4
2016,9,23,-186,4:52,5:02,5:36,8975,113,9,20,0.34,AR 2593,31,
2016,9,16,-159,12:20,12:20,12:50,8973,155,1,-69,0.94,AR 2592,24,
2016,9,14,-45,23:12,23:14,23:40,8972,71,,,1.03,,23,
2016,9, 9,-33,3:16,3:16,3:42,8971,35,,,,AR 2589,22,
2016,9, 6,-375,7:54,8:12,9:20,8970,87,,,1.09,,44,B7
2016,9, 5,-18,9:18,9:18,9:42,8969,33,,,,AR 2585,21,B4
2016,7,26,-58,7:52,7:54,8:32,8968,35,,,1.03,,29,
2016,7,23,-145,5:34,5:40,6:10,8967,605,,,1.05,,27,M7
2016,7,21,-90,2:00,2:02,2:28,8966,89,10,39,0.63,AR 2567,23,C9
2016,7,20,-32,1:32,1:32,1:58,8965,60,8,20,0.35,AR 2567,22,B9
2016,7,18,-141,16:36,16:36,17:22,8964,95,-18,-17,0.48,AR 2568,32,
2016,7,18,-155,7:10,7:12,7:40,8963,171,-19,-22,0.54,AR 2568,24,C6
2016,7,17,-124,14:04,14:16,14:52,8962,142,-21,-35,0.69,AR 2568,33,
2016,7,17,-170,7:14,7:24,7:50,8961,116,4,-11,0.2,AR 2567,27,
2016,7,17,-137,6:40,6:42,7:10,8960,107,2,-12,0.21,AR 2567,24,
2016,7,15,-22,13:06,13:10,13:38,8959,87,,,1.04,,25,
2016,7,10,-198,1:06,1:12,1:54,8958,243,24,-74,0.97,AR 2564,33,C4
2016,7, 9,-12,16:12,16:14,16:56,8957,16,,,,,31,C2
2016,7, 7,-195,8:04,8:08,8:38,8956,255,-16,38,0.68,,26,C8
2016,6,29,-103,2:52,2:54,3:18,8955,104,13,-24,0.44,,22,
2016,6,27,-92,9:54,9:58,10:28,8954,67,13,-46,0.73,,26,
2016,6,25,-111,2:24,2:24,2:52,8953,78,,,,,23,
2016,6,20,-137,19:28,19:28,19:52,8952,104,4,-9,0.17,AR 2556,21,
2016,6,20,-66,7:32,7:32,7:58,8951,55,,,1.07,,22,
2016,6,20,-81,3:04,3:04,3:28,8950,80,12,41,0.68,AR 2558,21,C1
2016,6,19,-120,23:16,23:18,23:52,8949,179,,,1.09,,27,
2016,6,19,-79,12:00,12:06,12:38,8948,101,12,31,0.54,AR 2553,28,C2
2016,6,14,-135,12:08,12:36,13:04,8947,129,12,-53,0.82,,37,
2016,6,11,-58,22:26,22:28,22:56,8946,35,,,1.17,,24,C4
2016,5,30,-38,13:32,13:32,13:58,8945,49,13,22,0.45,,22,C1
2016,5,30,-27,7:46,7:46,8:12,8944,36,14,18,0.4,,22,C1
2016,5,29,-3,5:02,5:04,5:28,8943,8,-13,19,0.38,,22,
2016,5,29,-56,2:40,2:42,3:12,8942,78,,,1.12,,25,
2016,5,22,-58,12:28,12:28,12:58,8941,62,,,1.04,,24,
2016,5,21,-26,1:18,1:20,1:50,8940,27,-16,7,0.27,AR 2546,25,
2016,5,16,-12,15:30,15:30,15:54,8939,29,16,25,0.53,AR 2544,21,C2
2016,5,16,-59,1:08,1:10,1:44,8938,61,19,23,0.53,AR 2544,27,C1
2016,5,15,-509,15:16,15:30,16:02,8937,190,22,56,0.88,AR 2542,32,
2016,5,15,-138,11:24,11:24,11:56,8936,50,21,13,0.45,AR 2544,25,
2016,5,14,-8,15:28,15:28,15:52,8935,23,,,,AR 2544,21,C2
2016,5,14,-15,11:42,11:44,12:12,8934,38,-16,62,0.89,AR 2543,24,C7
2016,5,14,-146,9:38,9:38,10:28,8933,59,-15,64,0.91,AR 2543,34,B7
2016,5, 9,-42,21:56,22:02,22:30,8932,82,-18,-24,0.47,AR 2543,26,
2016,5, 9,-105,5:34,5:36,6:04,8931,50,1,12,0.23,AR 2541,24,
2016,5, 7,-61,15:44,15:50,17:22,8930,69,22,-28,0.62,AR 2542,58,
2016,5, 7,-84,13:14,13:16,13:50,8929,55,,,1.07,,27,
2016,5, 4,-94,13:52,13:54,14:32,8928,147,5,63,0.9,AR 2535,29,C2
2016,5, 2,-250,8:44,9:10,9:38,8927,88,20,-43,0.76,AR 2540,36,C4
2016,5, 2,-20,3:14,3:14,3:38,8926,39,-3,26,0.45,AR 2535,21,
2016,4,29,-115,19:46,19:46,20:14,8925,187,17,-24,0.53,AR 2536,23,
2016,4,28,-60,20:14,20:14,20:38,8924,58,6,-16,0.33,AR 2535,21,
2016,4,28,-9,13:04,13:06,13:30,8923,25,1,-20,0.36,AR 2535,22,C1
2016,4,28,-36,9:42,9:48,10:12,8922,35,15,-23,0.51,AR 2535,24,B4
2016,4,28,-46,6:12,6:12,7:00,8920,33,,,,AR 2535,33,C1
2016,4,28,-43,1:30,1:32,2:04,8919,80,1,-28,0.48,AR 2535,26,B6
2016,4,18,-90,2:00,2:04,2:36,8918,120,,,1.06,,27,
2016,4,18,-202,0:34,0:56,1:40,8917,341,,,1.03,,42,M8
2016,4,16,-96,20:00,20:02,20:32,8916,81,-11,54,0.81,AR 2529,25,C4
2016,4,13,-78,23:40,23:40,23:58,8915,104,20,-8,0.47,AR 2529,18,C2
